id,date,method,pathname,status,timestamp,level,event_message,log_type,log_count,logs,auth_user
fa8e88a0-82eb-4864-b855-b6fe642acc24,"""2026-09-22T11:21:27.391Z""",GET,/realtime/v1/websocket,101,2026-09-22T11:21:27.391000,success,"GET | 101 | https://zyrunsnweznyrhuroduo.supabase.co/realtime/v1/websocket?apikey=REDACTED&eventsPerSecond=20&vsn=2.0.0 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/153.0.8010.0 Safari/537.36",edge,null,[],null
8f1bfb33-5b1a-4631-8d2f-8a870bf0e2bc,"""2026-09-22T11:21:27.216Z""",,,00000,2026-09-22T11:21:27.216000,success,"checkpoint complete: wrote 255 buffers (0.9%); 0 WAL file(s) added, 0 removed, 2 recycled; write=25.187 s, sync=0.016 s, total=25.227 s; sync files=138, longest=0.004 s, average=0.001 s; distance=32925 kB, estimate=47401 kB; lsn=7/9C0342A0, redo lsn=7/9C032C60",postgres,null,[],null
2a02eecc-47f8-4167-bdae-ae1bd3541803,"""2026-09-22T11:21:26.225Z""",GET,/rest/v1/Post,400,2026-09-22T11:21:26.225000,warning,GET | 400 | https://zyrunsnweznyrhuroduo.supabase.co/rest/v1/Post?select=id%2Ccontent%2C%22mediaUrls%22%2C%22cheerCount%22%2C%22commentCount%22%2C%22createdAt%22%2Cauthor%3AUser%21Post_authorId_fkey%28id%2Cname%2Cusername%2Cavatar%29&isFlagged=eq.false&order=createdAt.desc&limit=12 | node,edge,null,[],null
1933b10d-2d72-470c-9514-dee8b8bf3916,"""2026-09-22T11:21:26.222Z""",GET,/rest/v1/AIConsultant,200,2026-09-22T11:21:26.222000,success,GET | 200 | https://zyrunsnweznyrhuroduo.supabase.co/rest/v1/AIConsultant?select=*&isActive=eq.true&order=isFeatured.desc%2Crating.desc&limit=6 | node,edge,null,[],null
de393185-9988-4b5e-9069-b20dc15b76a4,"""2026-09-22T11:21:26.219Z""",GET,/rest/v1/Consultant,400,2026-09-22T11:21:26.219000,warning,GET | 400 | https://zyrunsnweznyrhuroduo.supabase.co/rest/v1/Consultant?select=id%2Ccategory%2Crating%2C%22sparkScore%22%2C%22perMinuteRate%22%2Cspecialties%2Cuser%3AUser%21Consultant_userId_fkey%28id%2Cname%2Cusername%2Cavatar%2Cis_online%29&status=eq.VERIFIED&isActive=eq.true&order=sparkScore.desc&limit=8 | node,edge,null,[],null
e2814b29-b041-4fba-938b-a7bfb25a09bd,"""2026-09-22T11:21:00.050Z""",,,00000,2026-09-22T11:21:00.050000,success,"AUDIT: SESSION,1,2,WRITE,UPDATE,TABLE,public._mv_refresh_log,""UPDATE public._mv_refresh_log
    SET last_refresh_at = now(),
        refresh_count   = refresh_count + 1,
        duration_ms     = (EXTRACT(EPOCH FROM (clock_timestamp() - v_t0)) * 1000)::int,
        row_count       = v_rows
    WHERE mv_name = 'mv_consultant_directory'"",<not logged>",postgres,null,[],null
346d0aa8-f88d-4ab6-9bc4-3a632d6866b5,"""2026-09-22T11:21:00.049Z""",,,00000,2026-09-22T11:21:00.049000,success,"AUDIT: SESSION,1,1,DDL,REFRESH MATERIALIZED VIEW,MATERIALIZED VIEW,public.mv_consultant_directory,""REFRESH MATERIALIZED VIEW public.""""mv_consultant_directory"""""",<not logged>",postgres,null,[],null
8a816945-cc7f-41d4-ae3e-c1dacd597e78,"""2026-09-22T11:21:00.036Z""",,,00000,2026-09-22T11:21:00.036000,success,"AUDIT: SESSION,1,1,WRITE,UPDATE,TABLE,""public.""""User"""""",""UPDATE public.""""User""""
  SET """"is_online"""" = false, """"updatedAt"""" = now()
  WHERE """"is_online"""" = true
    AND (""""lastSeenAt"""" IS NULL
         OR """"lastSeenAt"""" < now() - (p_stale_after_seconds || ' seconds')::interval)"",<not logged>",postgres,null,[],null
1c6e71f0-f95c-466a-ae3e-a01a9dfb5710,"""2026-09-22T11:21:00.015Z""",,,00000,2026-09-22T11:21:00.015000,success,"cron job 3 starting:  SELECT public.refresh_consultant_directory(); ",postgres,null,[],null
6dbed624-8482-4bdd-94ef-b28655fdd97d,"""2026-09-22T11:21:00.004Z""",,,00000,2026-09-22T11:21:00.004000,success,cron job 1 starting: SELECT public.cleanup_stale_online_users(120);,postgres,null,[],null
0f67e406-b5ec-4e5c-8bce-af83929cc6f7,"""2026-09-22T11:20:00.075Z""",,,00000,2026-09-22T11:20:00.075000,success,"AUDIT: SESSION,1,2,WRITE,UPDATE,TABLE,public._mv_refresh_log,""UPDATE public._mv_refresh_log
    SET last_refresh_at = now(),
        refresh_count   = refresh_count + 1,
        duration_ms     = (EXTRACT(EPOCH FROM (clock_timestamp() - v_t0)) * 1000)::int,
        row_count       = v_rows
    WHERE mv_name = 'mv_consultant_directory'"",<not logged>",postgres,null,[],null
12bcfa80-328e-4d79-be53-7c9e60d94fd8,"""2026-09-22T11:20:00.074Z""",,,00000,2026-09-22T11:20:00.074000,success,"AUDIT: SESSION,1,1,DDL,REFRESH MATERIALIZED VIEW,MATERIALIZED VIEW,public.mv_consultant_directory,""REFRESH MATERIALIZED VIEW public.""""mv_consultant_directory"""""",<not logged>",postgres,null,[],null
2bdf57e5-fb62-42bd-8be0-26aada0fb95d,"""2026-09-22T11:20:00.052Z""",,,00000,2026-09-22T11:20:00.052000,success,"AUDIT: SESSION,1,1,WRITE,UPDATE,TABLE,""public.""""User"""""",""UPDATE public.""""User""""
  SET """"is_online"""" = false, """"updatedAt"""" = now()
  WHERE """"is_online"""" = true
    AND (""""lastSeenAt"""" IS NULL
         OR """"lastSeenAt"""" < now() - (p_stale_after_seconds || ' seconds')::interval)"",<not logged>",postgres,null,[],null
3b74f991-4d6e-4946-8726-bd7ebb07acff,"""2026-09-22T11:20:00.022Z""",,,00000,2026-09-22T11:20:00.022000,success,"cron job 3 starting:  SELECT public.refresh_consultant_directory(); ",postgres,null,[],null
3832e2fc-717f-4246-9e3d-51fb0375a1af,"""2026-09-22T11:20:00.004Z""",,,00000,2026-09-22T11:20:00.004000,success,cron job 1 starting: SELECT public.cleanup_stale_online_users(120);,postgres,null,[],null
47f4dc3d-f27e-47f8-baaf-30bdccf05e9d,"""2026-09-22T11:19:53.128Z""",GET,/realtime/v1/websocket,101,2026-09-22T11:19:53.128000,success,"GET | 101 | https://zyrunsnweznyrhuroduo.supabase.co/realtime/v1/websocket?apikey=REDACTED&eventsPerSecond=20&vsn=2.0.0 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/153.0.8010.0 Safari/537.36",edge,null,[],null
